asin,content,date,rate,reviewer,title
B07J6QDYYF," 'bI like this a lot. It's well made and doesn't look flimsy.There are three main lighting selections, I think they are called warm, cool, and daylight. You can select whichever one you like and that is the one that will come on when you turn the light on. There is also the option of multiple colours, which you can select individually or set to cycle. There is also a timer, either 30 minutes or an hour. All settings are dimmable.'bThe bright setting is very nice and bright, but I think the dim is a bit bright to use as a night light. It's a nice accent lamp, though. ","Reviewed in Canada on December 4, 2019",5,Ruth Freese," 'Well made, looks great.' "
B07J6QDYYF," 'Great bedside lamp'I have to say this is a pretty cool bed light, you can change the color of the light just by touching the button.'It comes with adapter and this is a plugged in unit'bThere's timer option as well, which is handy if you're reading and knowing that you'll fall asleep soon. ","Reviewed in Canada on November 11, 2019",5,Rosan Bosch, 'Great bedside lamp' 
B07J6QDYYF," 'bthis is an excellent bedside lamp, the variety of functions listed are incredibly helpful and hubby loves it. the only complaint is that it's hard to remember where to touch (it comes with a diagram that is removable) so we had to practice for a while before getting the hang of it ","Reviewed in Canada on February 2, 2020",5,03 Afterthought," 'great lamp, maybe not best for bedtime' "
B07J6QDYYF," 'bI wanted to get an amber light to be used as nightlight and to set a relaxing atmosphere when I'm reading before bedtime and this lamp delivers on that. The color setting is persistent (for the next time I'd use it), and I could set a different color if I need to. The only improvements I could suggest is to maybe (1) have the max setting a little bit higher - I don't think I could read a standard book using this light (but then again this is not what I set out to do), (2) have the on/off button faintly illuminated - the single touch brings up a night light but if you wanted the full light you have to click the exact button. But overall I am very satisfied with this product! ","Reviewed in Canada on January 19, 2020",5,Aleksandar Crnjin, 'Very nice bedside lamp' 
B07J6QDYYF, 'bI bought this for my 3 year old son to have in his room and he just loves it. He loves being able to choose what colour he wants for the night and he loves the colour changing mode. It adds a cool touch to his room. It's easy and fun to use. ,"Reviewed in Canada on February 2, 2020",5,Tals W., 'My sons loves it' 
B07J6QDYYF, 'I have to correct those critical reviewers who said this lamp was made of plastic-IT IS MADE OF METAL! I just got mine and in the instructions it says to remove the plastic film that is wrapped around the lamp. You have to be careful because it\'s on really tight. As soon as you do that all the crystals hang on the outside of the lamp. The crystals are made of glass-notplastic! Ihave a red bulb in mine in the living room and the affect is stunning!' ,"Reviewed in Canada on February 24, 2019",5,kathleen k., 'MADE OF METAL NOT PLASTIC!' 
B07J6QDYYF," 'I was not sure about buying lamps for our bedroom online. My first choice did not go so well. These lamps were the perfect size and look of good quality. The bases do not look cheap, and are made of metal and not plastic. I have not seen similar lamps for such a good value.' ","Reviewed in Canada on February 22, 2020",5,Amazon Customer, 'Happy with my choice!' 
B07J6QDYYF," 'Super cute lamp. HOWEVER, the product material states that the product is metal. It is not. The lamp is completely made of plastic. Even the little crystals are plastic. So while I like the lamp, I paid for metal and received plastic.' ","Reviewed in Canada on June 19, 2018",3,Amazon Customer, 'Not quite as advertised....' 
B07J6QDYYF, 'They turned out amazing! I used white light bulbs since they go with my room but I think it would add more glam if used with a regular yellow light bulb. I kinda wish they came with a dimmer but still it s a great product. Comes with extra crystals in case you lose them. Caution: they aren t attached but are hanging onto the lamp' ,"Reviewed in Canada on July 7, 2018",4,Mahnoor, 'Adding some glam to your room' 
B07J6QDYYF," 'As another reviewer stated, the product description clearly describes the lamp as being metal when it is not. The lamp looks amazing from afar but when you touch it it definitely feels like cheap plastic painted silver. I gave 4 stars because the description is misleading and false but the lamp is very pretty and arrived safely. I also like that they give extra crystals in case you lose some.' ","Reviewed in Canada on September 29, 2018",4,Valerie Brien-Wright, 'NOT METAL BUT VERY NICE' 
B07J6QDYYF," 'bPetite lampe parfaite pour la chambre coucher. Jumeler des ampoules intelligentes et un assistant vocal, les ambiances que l'on peut cr er sont parfaites et pratiquement illimit s! ","Reviewed in Canada on February 20, 2020",5,David L., 'Parfaite lampe de chevet pour la chambre coucher' 
B07J6QDYYF," 'Beautiful lamps,great price . Look like they cost much more,look beautiful on bedroom night stands' ","Reviewed in Canada on January 16, 2020",5,Kim, 'Beautiful lamps' 
